player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
e8e31e37-f720-4eb8-a278-b134ac9bb7b5,Christian Leali'ifano,10,Moana Pasifika,2024,40,135,64,69,2,3,1,330,0,1,0,3,0,0,12,12,6,22,88,8,6,1,10,2
e8e31e37-f720-4eb8-a278-b134ac9bb7b5,Christian Leali'ifano,15,Moana Pasifika,2024,7,17,8,9,0,0,0,46,0,0,0,2,0,0,0,0,1,6,48,1,2,0,2,1
e8e31e37-f720-4eb8-a278-b134ac9bb7b5,Christian Leali'ifano,14,Moana Pasifika,2024,0,12,4,8,1,0,0,22,0,0,0,0,0,0,2,2,0,1,10,1,1,0,1,0
e8e31e37-f720-4eb8-a278-b134ac9bb7b5,Christian Leali'ifano,16,Moana Pasifika,2024,,0,0,0,,,,0,,,,,,,,,,,,,,,,
fe31dcee-beec-4001-90c8-26dd1c0afbb5,Christian Lio-Willie,6,Crusaders,2024,17,12,7,6,0,0,0,29,1,0,0,3,0,0,3,1,1,6,19,3,0,0,3,0
fe31dcee-beec-4001-90c8-26dd1c0afbb5,Christian Lio-Willie,8,Crusaders,2024,178,217,120,98,0,10,0,489,4,4,0,7,2,0,84,5,5,96,290,34,7,6,72,5
1abce570-a19e-415b-a49c-19811fe97db9,Codie Taylor,2,Crusaders,2024,63,104,56,49,0,16,3,239,2,1,0,5,0,0,37,2,1,28,103,16,4,0,21,0
fb1dbe25-668a-4c8f-977c-c64a47578899,Cole Forbes,12,Blues,2024,0,15,4,11,1,0,0,31,0,0,0,0,0,0,5,1,0,2,20,0,1,0,1,0
fb1dbe25-668a-4c8f-977c-c64a47578899,Cole Forbes,15,Blues,2024,204,303,169,135,3,8,2,677,3,5,1,23,1,0,35,7,15,87,498,29,11,2,52,2
fb1dbe25-668a-4c8f-977c-c64a47578899,Cole Forbes,7,Blues,2024,0,2,1,1,0,0,0,6,0,0,0,0,0,0,2,0,0,2,4,0,0,0,2,0
b717526b-fb6a-4bc5-be0e-16f1e729d0d1,Connal McInerney,2,ACT Brumbies,2024,13,111,51,58,0,6,5,257,0,0,0,0,0,0,35,9,1,16,21,5,3,2,13,1
04d62231-ec58-46d0-be5d-248ecfb96a7e,Connor Garden-Bachop,14,Highlanders,2024,9,17,8,9,0,0,2,37,0,0,0,1,0,0,6,2,0,2,5,1,0,1,1,1
04d62231-ec58-46d0-be5d-248ecfb96a7e,Connor Garden-Bachop,11,Highlanders,2024,88,76,39,37,0,0,0,184,1,6,0,11,0,0,15,1,2,23,190,6,6,1,10,1
04d62231-ec58-46d0-be5d-248ecfb96a7e,Connor Garden-Bachop,15,Highlanders,2024,31,24,12,13,0,0,0,49,0,1,1,3,0,0,3,0,0,7,71,2,1,2,2,1
04d62231-ec58-46d0-be5d-248ecfb96a7e,Connor Garden-Bachop,12,Highlanders,2024,1,11,9,2,0,0,0,21,0,0,1,0,0,0,0,0,0,2,7,0,0,0,1,0
8a2ffdd2-d64b-4921-8641-0cf450c80601,Connor Vest,5,Reds,2024,15,17,7,11,0,0,0,43,0,0,0,1,0,0,9,1,0,7,8,0,0,1,6,1
8a2ffdd2-d64b-4921-8641-0cf450c80601,Connor Vest,4,Reds,2024,9,33,16,17,0,5,4,77,0,0,0,0,0,0,18,0,0,6,5,1,0,1,6,0
89424320-fa71-48f7-a29f-47b301c83560,Corey Evans,16,Blues,2024,,0,0,0,,,,0,,,,,,,,,,,,,,,,
89424320-fa71-48f7-a29f-47b301c83560,Corey Evans,15,Blues,2024,15,24,11,13,0,0,0,50,0,0,0,2,0,0,0,0,0,7,56,1,2,0,3,0
89424320-fa71-48f7-a29f-47b301c83560,Corey Evans,12,Blues,2024,71,98,53,45,0,0,0,219,1,3,0,5,0,1,21,1,2,20,129,4,0,0,15,0
89424320-fa71-48f7-a29f-47b301c83560,Corey Evans,10,Blues,2024,22,10,5,5,0,0,0,18,0,0,0,2,0,0,3,0,0,4,31,2,1,0,3,1
a3832af5-24c7-4673-9210-2160f6b528bf,Corey Kellow,6,Crusaders,2024,18,40,17,23,0,0,0,80,0,1,0,3,0,0,19,2,0,4,28,1,0,0,2,0
a3832af5-24c7-4673-9210-2160f6b528bf,Corey Kellow,4,Crusaders,2024,0,12,4,8,0,0,0,28,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0
a3832af5-24c7-4673-9210-2160f6b528bf,Corey Kellow,7,Crusaders,2024,38,75,43,32,0,0,0,170,1,1,0,1,1,0,38,1,1,16,71,4,3,2,14,0
2c581b06-7d21-477c-b34c-312ba26632c8,Corey Toole,11,ACT Brumbies,2024,251,363,174,190,3,5,1,845,8,15,5,28,0,1,48,16,8,68,562,11,11,3,29,3
cb9312fe-55cd-4f62-adc2-584bc4a7241f,Cormac Daly,4,Reds,2024,52,54,29,26,0,0,0,108,0,0,0,3,0,0,18,2,3,24,44,3,2,2,19,1
cb9312fe-55cd-4f62-adc2-584bc4a7241f,Cormac Daly,5,Reds,2024,6,36,16,19,0,0,0,84,0,0,0,0,0,0,7,1,0,4,10,1,2,0,4,0
a8ac5f74-2b3b-45d8-9b79-f0452c65890b,Cortez Ratima,9,Chiefs,2024,98,277,133,145,1,1,1,648,8,3,11,12,0,0,84,14,6,36,286,5,5,2,10,0
d928aa9d-3cb3-4760-a513-2b4107119aaa,Cullen Grace,6,Crusaders,2024,66,207,116,89,0,16,3,462,1,1,0,2,1,0,72,7,2,57,155,9,4,2,43,2
d928aa9d-3cb3-4760-a513-2b4107119aaa,Cullen Grace,8,Crusaders,2024,134,243,111,135,0,0,0,534,2,1,0,8,0,0,102,22,0,60,193,19,6,4,52,4
74e4c2b0-7825-4594-a397-cb31ae7e3f74,D'Angelo Leuila,15,Moana Pasifika,2024,8,14,8,5,1,0,0,30,0,0,0,1,1,0,5,0,1,8,23,4,0,0,7,0
74e4c2b0-7825-4594-a397-cb31ae7e3f74,D'Angelo Leuila,12,Moana Pasifika,2024,20,30,12,18,1,0,0,78,0,0,0,2,0,0,13,2,1,11,33,2,2,2,8,2
74e4c2b0-7825-4594-a397-cb31ae7e3f74,D'Angelo Leuila,10,Moana Pasifika,2024,10,40,17,22,0,0,0,80,0,0,0,0,0,0,8,5,1,6,37,3,1,1,5,0
0dd0b35a-eb29-4673-b6b0-02f4cb7092c8,Dallas McLeod,14,Crusaders,2024,2,10,3,6,0,0,0,20,0,0,0,0,0,0,5,0,0,1,7,1,0,1,1,0
0dd0b35a-eb29-4673-b6b0-02f4cb7092c8,Dallas McLeod,12,Crusaders,2024,110,211,106,107,0,0,0,476,3,2,3,12,1,0,67,11,5,45,141,11,9,2,29,0
